TRAFFIC_SIGNAL_ID,RECORD_DATE,RECORD_STATUS,SIGNAL_STATUS,FROM_DATE,TO_DATE,SIGNAL_OWNER,LOCATION_CODE,LOCATION_ID,SIGNAL_TYPE,INSTALLATION_DATE,REBUILD_DATE,MAJOR_RETIME_DATE
419,2012-01-09 14:58:20,ACTIVE,IN USE,2012-01-01 00:00:00,,CCD,3310,223,,,,
425,2012-01-09 14:58:20,ACTIVE,IN USE,2012-01-01 00:00:00,,CCD,3042,31,,,,
430,2012-01-09 14:58:20,ACTIVE,IN USE,2012-01-01 00:00:00,,CCD,3714,355,,,,
436,2012-01-09 14:58:20,ACTIVE,IN USE,2012-01-01 00:00:00,,CCD,3179,129,,,,
442,2012-01-09 14:58:20,ACTIVE,IN USE,2012-01-01 00:00:00,,CCD,4017,501,,,,
448,2012-01-09 14:58:20,ACTIVE,IN USE,2012-01-01 00:00:00,,CCD,4018,502,,,,
454,2012-01-09 14:58:20,ACTIVE,IN USE,2012-01-01 00:00:00,,CCD,3049,36,,,,
459,2012-01-09 14:58:20,ACTIVE,IN USE,2012-01-01 00:00:00,,CCD,3208,150,,,,
465,2012-01-09 14:58:20,ACTIVE,IN USE,2012-01-01 00:00:00,,CCD,4907,818,,,,
471,2012-01-09 14:58:21,ACTIVE,IN USE,2012-01-01 00:00:00,,CCD,4949,827,,,,
477,2012-01-09 14:58:21,ACTIVE,IN USE,2012-01-01 00:00:00,,CCD,3877,445,,,,
482,2012-01-09 14:58:21,ACTIVE,IN USE,2012-01-01 00:00:00,,CCD,5939,1071,,,,
488,2012-01-09 14:58:21,ACTIVE,IN USE,2012-01-01 00:00:00,,CCD,4566E,710,,,,
818,2012-01-09 14:58:23,ACTIVE,IN USE,2012-01-01 00:00:00,,CCD,4611,725,,,,
824,2012-01-09 14:58:23,ACTIVE,IN USE,2012-01-01 00:00:00,,CCD,4349,624,,,,
835,2012-01-09 14:58:23,ACTIVE,IN USE,2012-01-01 00:00:00,,CCD,4728,762,,,,
841,2012-01-09 14:58:23,ACTIVE,IN USE,2012-01-01 00:00:00,,CCD,4755,775,,,,
847,2012-01-09 14:58:23,ACTIVE,IN USE,2012-01-01 00:00:00,,CCD,4997,845,,,,
853,2012-01-09 14:58:23,ACTIVE,IN USE,2012-01-01 00:00:00,,CCD,4108,532,,,,
859,2012-01-09 14:58:23,ACTIVE,IN USE,2012-01-01 00:00:00,,CCD,5397,913,,,,
864,2012-01-09 14:58:23,ACTIVE,IN USE,2012-01-01 00:00:00,,CCD,4599,721,,,,
870,2012-01-09 14:58:23,ACTIVE,IN USE,2012-01-01 00:00:00,,CCD,4958,830,,,,
876,2012-01-09 14:58:23,ACTIVE,IN USE,2012-01-01 00:00:00,,CCD,4393,646,,,,
882,2012-01-09 14:58:23,ACTIVE,IN USE,2012-01-01 00:00:00,,CCD,4952,828,,,,
887,2012-01-09 14:58:23,ACTIVE,IN USE,2012-01-01 00:00:00,,CCD,4308,606,,,,
893,2012-01-09 14:58:23,ACTIVE,IN USE,2012-01-01 00:00:00,,CCD,5521,961,,,,
899,2012-01-09 14:58:23,ACTIVE,IN USE,2012-01-01 00:00:00,,CCD,4243,574,,,,
905,2012-01-09 14:58:23,ACTIVE,IN USE,2012-01-01 00:00:00,,CCD,4486S,684,,,,
911,2012-01-09 14:58:23,ACTIVE,IN USE,2012-01-01 00:00:00,,CCD,5817,998,,,,
917,2012-01-09 14:58:23,ACTIVE,IN USE,2012-01-01 00:00:00,,CCD,4908,819,,,,
923,2012-01-09 14:58:23,ACTIVE,IN USE,2012-01-01 00:00:00,,CCD,4382,637,,,,
928,2012-01-09 14:58:24,ACTIVE,IN USE,2012-01-01 00:00:00,,CCD,6160,1131,,,,
934,2012-01-09 14:58:24,ACTIVE,IN USE,2012-01-01 00:00:00,,CCD,5870,1033,,,,
940,2012-01-09 14:58:24,ACTIVE,IN USE,2012-01-01 00:00:00,,CCD,6299,1206,,,,
946,2012-01-09 14:58:24,ACTIVE,IN USE,2012-01-01 00:00:00,,CCD,6551E,0,,,,
952,2012-01-09 14:58:24,ACTIVE,IN USE,2012-01-01 00:00:00,,CCD,6383,1259,,,,
957,2012-01-09 14:58:24,ACTIVE,IN USE,2012-01-01 00:00:00,,CCD,6513,0,,,,
963,2012-01-09 14:58:24,ACTIVE,IN USE,2012-01-01 00:00:00,,CCD,6479,1308,,,,
969,2012-01-09 14:58:24,ACTIVE,IN USE,2012-01-01 00:00:00,,CCD,5816,997,,,,
975,2012-01-09 14:58:24,ACTIVE,IN USE,2012-01-01 00:00:00,,CCD,4368,632,,,,
980,2012-01-09 14:58:24,ACTIVE,IN USE,2012-01-01 00:00:00,,CCD,4975,839,,,,
986,2012-01-09 14:58:24,ACTIVE,IN USE,2012-01-01 00:00:00,,CCD,4078,523,,,,
